ID,Upstream Workstream,Downstream Workstream,Dependency / Acceptance,Needed By,Forecast,Criticality,Owner,Status,Response
D-001,Process Redesign,Workflow Automation,Approved design,Month 2,Month 3,High,Program Manager,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-002,Workflow Automation,Data & Analytics,Configured environment,Month 3,Month 4,Medium,Technology Lead,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-003,Data & Analytics,Collaboration Platform,Validated data/interface,Month 4,Month 5,High,Business Lead,Monitoring,Weekly review; escalate if acceptance date slips >5 business days.
D-004,Collaboration Platform,Operating Model,Security/control signoff,Month 5,Month 6,Medium,Control Lead,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-005,Operating Model,Change & Adoption,Approved design,Month 6,Month 7,High,Program Manager,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-006,Change & Adoption,Portfolio Governance,Configured environment,Month 7,Month 8,Medium,Technology Lead,Monitoring,Weekly review; escalate if acceptance date slips >5 business days.
D-007,Portfolio Governance,Process Redesign,Validated data/interface,Month 8,Month 9,High,Business Lead,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-008,Process Redesign,Workflow Automation,Security/control signoff,Month 9,Month 10,Medium,Control Lead,Complete,Weekly review; escalate if acceptance date slips >5 business days.
D-009,Workflow Automation,Data & Analytics,Approved design,Month 10,Month 11,High,Program Manager,Monitoring,Weekly review; escalate if acceptance date slips >5 business days.
D-010,Data & Analytics,Collaboration Platform,Configured environment,Month 11,Month 12,Medium,Technology Lead,Complete,Weekly review; escalate if acceptance date slips >5 business days.
